age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,y
32,9,2,1,0,116,1,0,0,20,1,718,2,1
45,7,1,2,0,4958,0,0,0,4,8,212,4,0
31,1,1,1,0,2910,1,0,2,23,8,1392,2,1
52,10,1,0,0,3175,0,0,0,2,3,165,1,0
55,6,1,1,0,4493,0,0,0,4,1,272,1,0
35,0,2,1,0,0,1,0,0,13,8,1073,1,1
42,2,1,2,0,233,0,0,0,5,3,446,1,0
58,6,1,2,0,8014,1,0,0,19,9,697,2,0
58,0,1,1,0,580,0,1,1,2,3,161,3,0
62,5,1,1,0,1495,0,0,0,2,3,265,1,1
75,5,1,2,0,2991,0,0,0,22,0,240,1,1
34,9,2,2,0,2195,0,0,1,13,1,490,3,0
59,2,0,3,0,0,0,0,2,17,6,956,2,0
25,1,1,1,0,97,1,0,2,27,8,709,1,1
41,4,2,1,0,800,0,0,0,8,1,899,2,0
32,1,1,0,0,329,1,0,0,3,3,321,1,0
37,1,1,0,0,380,1,1,0,4,5,548,2,0
32,4,2,2,0,1781,0,0,0,8,0,321,1,1
30,4,2,2,0,57,1,0,0,4,3,153,2,0
45,4,1,0,0,4758,1,0,0,5,8,632,5,0
32,9,1,1,0,524,0,0,0,5,1,493,1,0
40,1,0,1,0,973,0,0,0,14,8,449,1,1
43,0,1,1,0,1138,0,0,0,16,0,132,2,0
39,8,2,2,0,2103,0,0,0,2,3,588,1,1
57,0,2,1,0,738,0,0,0,4,8,490,3,0
40,4,0,2,0,69,1,0,0,6,8,503,2,0
45,9,1,2,0,3626,0,0,2,19,6,2485,2,0
58,10,1,1,0,687,1,0,0,30,0,341,2,1
41,0,1,1,0,120,0,1,0,8,5,489,1,0
48,9,1,1,0,0,1,1,2,15,8,964,2,0
40,0,2,1,0,50,0,0,0,15,8,837,1,1
35,9,1,1,0,2,0,0,1,28,4,653,3,0
33,9,1,2,0,525,1,1,0,30,4,499,1,0
32,1,2,1,0,760,1,0,0,16,0,445,1,0
50,0,1,1,0,4855,0,0,0,5,1,720,2,1
48,7,1,1,0,74,0,0,0,2,3,201,1,0
42,1,1,0,0,-407,1,1,0,12,8,829,7,1
26,9,1,1,0,351,1,0,2,2,6,758,3,0
46,1,1,1,0,-221,1,1,0,2,3,219,2,0
59,5,0,0,0,-88,1,0,2,5,6,910,2,1
45,7,0,1,0,608,1,1,0,7,8,1135,3,1
48,1,1,1,0,1000,1,0,2,12,6,1268,2,1
41,1,2,1,1,-386,0,1,0,20,9,477,1,1
36,7,2,1,0,365,0,0,0,4,8,643,1,1
31,4,0,2,0,0,1,0,2,7,8,953,3,0
49,6,0,2,0,0,0,0,0,4,3,279,3,0
31,0,2,1,0,6981,1,0,0,20,9,627,3,0
40,4,1,2,0,3352,1,0,0,19,9,639,2,1
41,9,1,1,0,862,0,0,0,18,9,474,2,0
43,1,1,1,0,105,0,1,0,4,5,668,2,0
30,3,1,1,0,533,1,0,0,2,6,212,1,0
25,1,1,1,0,-306,1,0,2,20,6,534,3,0
42,4,1,2,0,687,0,0,0,11,1,667,2,0
30,8,2,1,0,96,0,0,0,4,3,291,1,0
50,4,1,2,0,1240,0,0,0,12,1,474,2,0
57,0,2,1,0,7400,1,0,0,11,8,485,2,0
34,4,1,2,0,676,0,0,1,11,9,486,1,1
54,4,0,2,0,29887,1,0,2,16,8,865,1,0
24,0,2,1,0,1052,0,0,0,30,0,354,1,1
27,4,2,2,0,703,1,0,2,5,6,590,3,1
39,0,1,1,0,-367,1,0,0,16,0,667,2,0
27,4,2,2,0,151,1,0,0,16,5,496,1,1
43,2,1,2,0,13342,1,0,0,18,9,465,1,0
59,10,1,1,0,4497,1,0,0,4,3,213,1,0
38,1,1,0,0,0,1,0,2,8,8,732,2,0
57,1,1,0,0,2112,0,0,0,12,1,1134,2,1
39,10,1,1,0,1309,1,0,0,4,3,587,2,0
39,4,1,2,0,1423,1,0,1,21,5,733,3,1
37,1,1,1,0,0,0,0,0,16,5,1150,1,0
33,4,1,2,0,307,0,0,2,16,8,806,4,0
35,4,0,2,0,3837,1,0,2,8,8,1084,1,1
40,1,1,0,0,119,1,0,0,17,0,795,3,0
25,7,2,1,0,642,1,1,0,4,8,364,2,0
35,9,1,1,0,0,1,0,0,19,9,644,4,1
48,6,1,2,0,0,0,0,0,29,4,1249,3,1
28,7,2,1,0,387,0,0,0,3,3,158,5,0
51,3,1,0,0,618,1,1,0,30,0,277,1,0
50,7,1,1,0,2956,1,0,2,14,8,686,1,0
49,1,1,0,0,-157,1,0,0,7,5,491,3,1
56,9,1,0,0,284,0,0,0,4,3,177,1,0
37,4,1,2,0,142,0,0,2,20,6,553,2,0
26,10,2,1,0,111,0,0,0,9,5,537,1,1
60,5,1,2,0,2557,1,0,0,2,3,415,1,1
36,1,0,0,0,102,0,0,0,3,3,306,2,0
49,9,1,1,0,425,1,0,0,12,8,816,1,0
39,7,2,1,0,7066,1,0,0,15,8,667,3,1
46,4,1,1,0,5559,0,0,2,17,6,483,1,0
39,2,1,2,0,36,1,0,2,26,8,488,3,0
